a,b
"1","Terminator 2 Review - 1991 - TMG Movie Review: http://t.co/PR6iotpBUA via @YouTube"
"2","@_Shayne3600 nah that terminator movie gonna be hard too"
"3","terminator salvation bro movie of the decade

yall didn't show this tweet enough love, so I'm gon tweet it again."
"4","So what is Cook it Now? Well imagine if the #Terminator was a chef. Movie parodies. Real recipes. Visit http://t.co/kf4B7Dulqy. #foodporn"
"5","RED HEAT Thai #Poster #ArnoldSchwarzenegger #Terminator action movie http://t.co/6rnMvX5KhH #Governor #Actor"
"6","This year we have a movie for Mad Max, Poltergeist, Jurassic Park, Terminator, James Bond, and Star Wars coming out. What year is it again?"
"7","Short Attention Span #Review: The #Terminator (1984)
http://t.co/I5kH9CG7lm
#movie #TerminatorGenisys #action #movies http://t.co/nbZvu8Ythq"
"8","@adrianchm @reese015 What about the new Terminator movie?"
"9","@BritishFlatShoe @UKStartUp Yes because then you could change the ending, To quote from the Terminator movie ""The Future is not fixed ! """
"10","Terminator Genisys Movie - Official Trailer 2 http://t.co/XPhfSNG9CO http://t.co/d1Mfw8isvt"
"11","New Terminator movie has Jai Courtney - IS THIS REAL LIFE AND IF SO WHAT DID I DO TO DESERVE SUCH BLESSINGS"
"12","So whats The Cookinator? Well imagine if the #Terminator was a chef. Movie parodies. Real recipes on my channel. http://t.co/kf4B7Dulqy"
"13","Gun to my head, I couldn't tell you which movie looks worse; Jurassic World or Terminator Genisys. (It's Terminator)"
"14","Speaking of I really need to re-watch the original Terminator. That's a movie I haven't seen nearly enough. T2 I've seen a billion times."
"15","@Caio_Walker_ I'm sure it won't be like that. This terminator movie is awesome"
"16","WAIT EMILIA CLARKE IS IN THE NEW TERMINATOR MOVIE"
"17","Terminator Genisys - original DS movie poster - 27x40 D/S ADVANCE:  $13.90End Date: Wednesday Jun-17-2015 4:35... http://t.co/ZFEZyjwJWg"
"18","@ATClarky9 fucking loved it.  Best action movie since terminator 2, will be the best movie of 2015, probably better than Star Wars"
"19","#geek Terminator Genisys Official Movie Trailer http://t.co/OCwgz5n1PU  #terminator"
"20","Watch Terminator Salvation Full Movie - Video ... http://t.co/R5fTwFrIeu"
"21","I liked a @YouTube video http://t.co/Yzvq3HOpbI Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"22","There is terminator (movie) looking androids that are grey."
"23","Death Proof http://t.co/bFFNyXOwDS
Collateral http://t.co/Wc2anQcPQr
Terminator Salvation http://t.co/THDydF5RZz"
"24","#terminator #movie #comingsoon @ IMAX XXI Summarecon Mal Serpong https://t.co/ZIQWwkBZZ2"
"25","Is this a #Terminator movie-based reality folks? http://t.co/4xUJGJs0hG Could #machines be used to enforce the #laws in the future?"
"26","Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD http://t.co/VoHkMNVbr6"
"27","@iamcaitlinboon it depends on which time travel movie we're talking about. #TheFlash #BackToTheFuture or #Terminator"
"28","This tagline grossly mischaracterises the movie. This ain't fucking Terminator. https://t.co/25zo6UbTEn"
"29","This is one movie we are counting down the weeks for!!
Are you super excited for Terminator Genisys??
Coming soon... http://t.co/Mn9dtJ8lBX"
"30","@Moon_Hunter even in Terminator Genisys that character still looks cool even though the rest of the movie looks terrible"
"31","Future For New TERMINATOR Trilogy - AMC Movie News http://t.co/8Obt40dckG http://t.co/SoepDajToW"
"32","Avengers aou remind me of mix between terminator n any superhero movie"
"33","New poster of #TerminatorGenisys you will see #EmiliaClarke in the role of #SarahConnor
http://t.co/X0MvOVZ5sY http://t.co/BFWzILdHFn"
"34","Terminator Genisys movie trailer: http://t.co/HHSlHkHwWv via @YouTube"
"35","Movies [HD] http://t.co/XcdpUhcsSN Terminator Genisys 2015 http://t.co/kzJwp12rsV"
"36","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"37","Terminator Salvation (2009) Full Movie. watch now! http://t.co/eF0AOjUYOY #WatchMovieOnline"
"38","@justevolving_ The original movie poster for Terminator http://t.co/uwbjbslvVE"
"39","Khelessi is starring in the new Terminator movie. It's a great day."
"40","RT @boredstiff109: Will they just put #summer #glau in a #terminator movie already so I can have a reason to watch one."
"41","Check out the movie 'Terminator Genisys' - http://t.co/P4MmV760oM - Sent via the moviebuddy app"
"42","Just saw the trailer for ne the Terminator Movie in the Cinema.
Damn Lee Byunghyun hot as always"
"43","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"44","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/B3BMKFSjgN #Governor #Actor"
"45","ken 002 #Terminator Genisys - 2015 #ArnoldSchwarzenegger Movie 14""x21"" #Poster http://t.co/ERwbbXlxmF #Governor #Actor"
"46","Rewatching The Terminator. Last saw it when I was 9 or so. Little bit dated but I'm amazed at how good a movie it is."
"47","@JoshuaCaleb75 You want convoluted have you seen the trailer for the new Terminator movie?"
"48","Also, since when is a movie being ayptical with gender roles cause for fanfare? As if movies like Terminator 2 &amp; Aliens never happened..."
"49","Terminator Genisys Movie - Official Trailer 2 https://t.co/x7DFvYsttU via @YouTube"
"50","I liked a @YouTube video http://t.co/xHicXg6bQj Terminator Genisys Movie - Official Trailer 2"
"51","The new Terminator movie I'm excited for just because I've been a fan of the Terminator series since the 90s lol"
"52","RT @maxloughborough: terminator salvation bro movie of the decade"
"53","terminator salvation bro movie of the decade"
"54","If anyone was ever scared of the 1st Terminator movie, watch it again I can say you'll be laughing. CGI has come a long way."
"55","RT @jandrewpotter: Btw Tom Hardy challenges Ahnold in The Terminator for least number of lines spoken by the title character in a movie."
"56","Btw Tom Hardy challenges Ahnold in The Terminator for least number of lines spoken by the title character in a movie."
"57","Wtf @ the new Terminator movie tho #canwenot"
"58","Move over Avengers. Mad Max just stole your throne. Best action movie I've seen since Terminator 2. It has a friggn' flame thrower guitar."
"59","Oh, and the trailer for the Terminator movie looks sweet."
"60","Wah?!? A new Terminator movie in July?"
"61","Shades of Terminator movie."
"62","I liked a @YouTube video http://t.co/r4DEK5flmx Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"63","Why is the official Neca account ragging on a Terminator movie, why does such wild things happen in life?"
"64","Will they just put #summer #glau in a #terminator movie already so I can have a reason to watch one."
"65","Movie idea: a Terminator gets sent back in time to London in 1888 and kills all the prostitutes in Whitechapel who answer to ""Sarah Connor""."
"66","Robocop vs Terminator...Sunday, June 21st @OCINEMA Miami, Florida...Exclusive Movie Event http://t.co/VNsooMTw8S http://t.co/P6u7WGQwWt"
"67","@chris_ryall I heard they're also upset that Sarah Conner is the focus of the upcoming Terminator movie."
"68","Additionally, after watching Fury Road twice, in both D options, I'm making a shocking statement: This movie unseats Terminator 2."
"69","""Line about Terminator being favorite romantic movie had me laughing out loud"" #bynr #asmsg http://t.co/Z4okFZToBY http://t.co/OMVvZdW0ah"
"70","The new Terminator looked dope until they started showing the whole movie"
"71","@AJFitzwater And in Terminator Kyle is front and center, though by the second movie Sarah has moved up in importance."
"72","@AJFitzwater That's just the rosy memory of Ripley from Alien (who is in an ensemble cast for most of movie) and Terminator."
"73","@Aavak_ Sure it has nothing to do with the new Terminator Movie being a thing?"
"74","RT @DerfelMacklin: Die Hard. Terminator 2. The Matrix. The Dark Knight. The Raid. Fury Road. Sci-fi and/or action movie milestones."
"75","There's another Terminator movie?

Danerys Targaryen is one of the mains? Cool cool."
"76","Considering we're about to see a 6th movie about him released, it's safe to say the Terminator doesn't live up to his name. #pastalavista"
"77","@CobraShadowJoes @NECA_TOYS I know, right? Must be something terminator related. Like another new movie figure"
"78","RT @DerfelMacklin: Die Hard. Terminator 2. The Matrix. The Dark Knight. The Raid. Fury Road. Sci-fi and/or action movie milestones."
"79","RT @DerfelMacklin: Die Hard. Terminator 2. The Matrix. The Dark Knight. The Raid. Fury Road. Sci-fi and/or action movie milestones."
"80","RT @DerfelMacklin: Die Hard. Terminator 2. The Matrix. The Dark Knight. The Raid. Fury Road. Sci-fi and/or action movie milestones."
"81","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"82","@NaNoWriMo Best sequel? Terminator 2. Movie I wish didn't have a sequel? Terminator 2"
"83","I want to see the new Terminator movie just bc Emilia Clarke is in it."
"84","@Schwarzenegger YOU R BACKKK 
:D  #Xciting.. WC  
Terminator Genisys Movie (T5) - Official Trailer
https://t.co/eSkWFzRd2B  via @YouTube"
"85","RT @xJohnny2Dx: @gameinformer @noobde T1,000 from terminator 2. New terminator movie coming. My favorite villain of all time. Let's go!"
"86","@Orlagh_Mu you need a good movie to cheer you up! I recommend Terminator 2 orrrrrr Coming to America!"
"87","After the trailer I saw today, you couldn't pay me to see the new Terminator movie. It looks THAT bad."
"88","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/e4SYSNe2Ka"
"89","Terminator Genisys Movie - Official Trailer 2 http://t.co/XPhfSNG9CO http://t.co/NN9We6bAfc"
"90","What a year for movies... Not only do we get a new star wars movie but also terminator, Jurassic park, and mad max! Blast from the past"
"91","Watch Terminator Genisys Full Movie Online - http://t.co/gqPqWktZTY via @DailymotionUSA"
"92","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/zUXMiiEWhw #Governor #Actor"
"93","@Caio_Walker_ *brings the popcorn over and sits next to Caio* computer play movie, The Terminator *the movie starts to play*"
"94","@spaceboyg @gwild0r Jim at a Terminator movie would be good. I'm in! :)"
"95","@tobiias no, you said ""and why the new Terminator movie will suck."""
"96","So, this weekend, I've watched ever terminator movie. Successful weakened for me."
"97","This may be the coolest movie poster I've ever seen! #Terminator #Movie http://t.co/8FKi2Ii48j"
"98","Ex Machina:  like a terminator movie, except boring."
"99","#movie #news Remastered Terminator returning to cinemas this June http://t.co/mhbiiO4VBQ"
"100","I hate to say it but that new terminator movie looks like a flop"
"101","RT @DerfelMacklin: Die Hard. Terminator 2. The Matrix. The Dark Knight. The Raid. Fury Road. Sci-fi and/or action movie milestones."
"102","RT @DerfelMacklin: Die Hard. Terminator 2. The Matrix. The Dark Knight. The Raid. Fury Road. Sci-fi and/or action movie milestones."
"103","Remastered Terminator returning to cinemas this June:  http://t.co/ttd5Q13HMh #Movie"
"104","Terminator Genisys Movie - Official Trailer 2 http://t.co/XPhfSNG9CO http://t.co/j4Bt0yZKY7"
"105","Die Hard. Terminator 2. The Matrix. The Dark Knight. The Raid. Fury Road. Sci-fi and/or action movie milestones."
"106","I liked a @YouTube video http://t.co/ZrKHZ8HudX Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"107","Terminator - Terminator 3 Le Soulevement Des Machines Full Movie: http://t.co/BMQ2eKjmTA via @YouTube"
"108","http://t.co/sWNOZzSXHe #TERMINATORGENISYS TRAILER...CAN THINGS GET ANY CRAZIER?!"
"109","They're making another Terminator movie?"
"110","I liked a @YouTube video http://t.co/rGHiDLLzOk Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"111","New Movie Posters for Terminator Genisys http://t.co/DVW5eGUuvr"
"112","""Christian Bale is in a Terminator movie?"" - My mom, speaking for the whole of humanity."
"113","@hotairblog @instapundit What an idiot. It's just a good movie with a female lead. Was Terminator feminist propaganda? Grow up."
"114","Terminator Genisys | Actual Movie Trailers http://t.co/yEoTCha8CL"
"115","Terminator 3: Rise of the Machines (2003) Full Movie. watch now! http://t.co/4F9b80Ddh5 #WatchMovieOnline"
"116","It's like someone looked at their watch and said ""oh it's time to make another Terminator movie."""
"117","The only reason I would watch the new terminator movie is because of Emilia Clarke"
"118","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"119","Men used to enjoy the rare female led action movie: Aliens, Terminator etc, so what's changed? I wonder if Twilight like films are to blame."
"120","Enjoy the silence #terminator #arnie #cinema #odeon #film #movie @ ODEON Chatham https://t.co/j46Rfv9pCr"
"121","Terminator Genisys Movie - Official Trailer 2 http://t.co/XPhfSNG9CO http://t.co/4EQO9SXF6E"
"122","@kdawson424 so basically a terminator movie"
"123","I added a video to a @YouTube playlist http://t.co/p6zrZzkv1B AMC Movie Talk - ANT-MAN Takes MAN OF STEEL 2 Date, TERMINATOR GENESIS"
"124","New Movie Posters for Terminator Genisys http://t.co/02JMFhulbA"
"125","@elephangaroo For ""The Terminator""?
I dunno. Maybe. 
There's probably a novelization of the movie, but I don't think it was based on a book."
"126","Movie Review: Terminator 6 - Rise of the Managers http://t.co/v6JnC9XzMQ
 #Calgary #Edmonton #oilandgas #Vancouver #Toronto"
"127","@colmtobin is that not the plot line of the new terminator movie? What trailer was I watching?"
"128","Child's Play 2 rips off the first Terminator movie ALOT."
"129","Ex Machina, a movie about about sexual robots. Imagine doing tech support on them.. #hellno #Terminator #ExMachina"
"130","Cool moving movie poster, #Terminator #Genisys https://t.co/XbHgJiYKhP"
"131","@Schwarzenegger  the main movie of this Summer is @Terminator     looking forward"
"132","The Terminator timeline is so fucking bullshit. It's fucking up my mind. But of course I'm still looking forward for the new movie."
"133","1/2 What was Arnie famous for saying in The Terminator movie? Click the link, send your answer by text or e-mail! http://t.co/KEB1TxAT9k"
"134","Who's excited to see Khaleesi Mother of Dragons in the new terminator movie? http://t.co/1Gws3JsE6k"
"135","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/UoWwPCiieX #Governor #Actor"
"136","Todays Netflix movie for my girls: The Terminator
""OMG that's terrible"" they screamed
""What?""
""That animation, shoulda used puppets""."
"137","What? Look at how many people are checking out this Terminator 2 Shot Glass 3D Movie Studio Promo Black &amp; Silver.. http://t.co/00ZOva0kNN"
"138","Watch Terminator Genisys Poster Animato (2015) - Arnold Schwarzenegger Movie HD... http://t.co/lxpTkArsAC"
"139","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"140","especially the terminator movie, everyone at school was talkin bout it and quoting it -_-"
"141","@zainabsbeautyC @azkhawaja1 i don't know that it has a screening nearby, but go watch #MadMaxFuryRoad best action movie since terminator 2"
"142","I liked a @YouTube video http://t.co/EnHYPGmsYI Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"143","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 18""x14"" #Poster http://t.co/eCWOG80Z4W #Governor #Actor"
"144","Holy shit i want to see the new Terminator movie"
"145","@LynkedToSorcery better is Edward Furlong joining Arnold again. Like he did in Terminator.  Also, an awesome movie."
"146","still thinking about mad max. shit this movie was definitely up there with Terminator 2 and Robocop in terms of action movie classics"
"147","RT @ejordbro: Ex-Terminator is a boring movie about a guy who hates, HATES, termites and ants."
"148","Just watch Mad Max super fun movie it seem to me like it was a mix between Cirque du Soleil and Terminator http://t.co/Pj0oEPfnfQ"
"149","Sarah Connor and Kyle Reese make love to a softer version of the brutal terminator theme song in the first movie. Mind is blown."
"150","Mad Max: Fury Road is the movie I wanted Terminator Salvation to be."
"151","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"152","RT @FriedDoreen: Terminator Genisys &amp;amp; Game of Thrones Promo Spot 2015 Emilia Clarke Sci Fi Movie HD: http://t.co/zWew2zgYpn via @YouTube"
"153","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"154","Terminator Genisys &amp;amp; Game of Thrones Promo Spot 2015 Emilia Clarke Sci Fi Movie HD: http://t.co/zWew2zgYpn via @YouTube"
"155","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"156","I was disappointed to learn neither Peter Gabriel or Phil Collins will be featured anywhere in the new Terminator movie #wronggenesis"
"157","I completely forgot they're making another terminator movie...and then I saw 3 different ages of Arnold Schwarzenegger and I got very scared"
"158","Wait: there is ANOTHER friggin #Terminator movie? You know, I think it's fairly obvious that John Connor is a fucking failure"
"159","Oh yeah. JK Simmons is in that new Terminator movie. The closest thing it'll ever come to an Oscar."
"160","ANOTHER TERMINATOR MOVIE IS COMING OUT??? Y'ALL NEED TO STOP NOW"
"161","ANOTHER Terminator movie? WTF? #SNL"
"162","Wait there is a new #Terminator #movie coming out????"
"163","Ex-Terminator is a boring movie about a guy who hates, HATES, termites and ants."
"164","JK Smimmons is in this Terminator movie?! And old Arnold appears, along with not-as-old Arnold and young Arnold?!"
"165","New Terminator movie looks ass."
"166","wait a minute another terminator movie?????????!!!?!!!"
"167","Another Terminator movie?

Oh."
"168","#MadMax is the Terminator 2 of the 21st century. An action movie so far beyond its peers, you almost can't believe it. #MovieReview"
"169","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/e4SYSNe2Ka"
"170","The new Terminator movie looks epic"
"171","RT @Baeylaa: The new terminator movie looks lit"
"172","The new terminator movie looks lit"
"173","Terminator 2: Judgment Day Full Movie 
http://t.co/i07l4mClT7 
Terminator 2: Judgment Day Full Movie http://t.co/amXtZlRNLr"
"174","Terminator 2 is the greatest movie ever made and if you disagree never fear because you're just wrong @Schwarzenegger is a legend also"
"175","New Terminator preview- Gay 

Preview for a movie with the Rock trying to save people from an earthquake- Gay"
"176","that new terminator movie tho..."
"177","Mad Max was the first action movie other then Terminator 2 that I haven't felt guilty watching, props to you, Miller."
"178","they showed the Terminator Genisys trailer before the movie revealing the two major twists. people are still looking fwd to this? lmao"
"179","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/LETPU9MoxB #Governor #Actor"
"180","RT @jd_rodriguez18: Damn the new Terminator movie looks legit!"
"181","Damn the new Terminator movie looks legit!"
"182","Mad Max: Fury Road is pretty much what happens when you combine Conan, Dune, and Terminator 2... An action movie for the century. A.+"
"183","Can somebody give Arnold some $$$ so we don't have another Terminator movie?"
"184","Reminds me of the ending of the first Terminator movie.  

There's a storm coming. http://t.co/Z4FjGu4Jzm"
"185","@cygnaut Any Terminator movie that doesn't star Sarah Connor doesn't count."
